[PROFILE] Starting profiling sequence...
[PROFILE] Press button to start first test at 30%
[PROFILE] Recording started at 30% power (11469 ms)
72611,40,-2.80,1.395,4.96
72716,40,-3.20,0.094,4.56
72821,40,-3.20,0.070,4.59
73016,40,-3.10,0.129,4.90
73122,40,-2.90,0.568,5.07
73226,40,-2.90,0.426,5.16
73331,40,-2.90,0.320,4.48
73526,40,-3.10,0.000,5.77
73631,40,-2.90,0.476,4.70
73736,40,-2.80,0.595,4.65
73841,40,-2.70,0.685,4.39
73946,40,-2.60,0.751,4.36
74141,40,-2.60,0.482,4.66
74246,40,-2.90,0.000,4.88
74351,40,-2.80,0.238,4.32
74456,40,-2.80,0.179,3.72
74651,40,-2.70,0.262,4.57
74756,40,-3.00,0.000,5.07
74921,40,-2.80,0.303,4.69
75026,40,-2.70,0.465,4.82
75131,40,-2.80,0.111,4.66
75326,40,-2.60,0.479,4.40
75431,40,-2.50,0.597,4.63
75626,40,-2.40,0.515,4.34
75731,40,-2.20,0.862,5.68
75836,40,-2.30,0.409,4.37
76031,40,-2.60,0.000,4.66
76136,40,-2.70,0.000,4.47
76331,40,-2.40,0.618,5.77
76436,40,-2.00,1.416,4.58
[PROFILE] Recording ended at 40% power (76470 ms)
[PROFILE] Next power level: 50%
[PROFILE] Recording started at 50% power (117471 ms)
117471,50,9.39,1.131,5.00
117926,50,9.10,0.689,5.05
118031,50,9.39,1.207,5.05
118226,50,9.30,0.521,0.59
118331,50,1.50,0.000,0.31
118526,50,-1.30,0.000,0.15
118631,50,-0.50,1.905,0.03
118736,50,-0.80,0.714,0.36
118931,50,-0.30,1.667,0.00
119036,50,-1.10,0.000,0.24
119231,50,-0.40,1.458,0.00
119336,50,-1.20,0.000,0.66
119441,50,-0.80,0.952,0.25
119636,50,-0.80,3.333,0.15
119741,50,-1.00,2.024,0.21
119846,50,-3.30,0.000,0.66
120041,50,-2.30,1.964,0.59
120146,50,-1.20,4.092,0.35
120251,50,-2.09,0.950,0.24
120356,50,-2.30,0.213,0.89
120461,50,-1.20,2.779,0.23
120641,50,-1.70,1.389,0.39
120746,50,-2.60,0.000,0.26
120866,50,-2.40,0.417,0.91
121046,50,-0.40,3.090,0.12
121151,50,-0.40,2.318,0.70
121256,50,-0.80,0.786,0.03
121451,50,-1.60,2.404,2.49
121556,50,-2.40,0.000,1.21
121661,50,-2.80,0.000,1.43
121766,50,-2.60,0.476,0.76
121871,50,-3.40,0.000,2.10
122066,50,-0.90,5.446,0.85
122171,50,-0.40,5.275,3.15
122276,50,1.20,7.766,1.50
122381,50,4.50,13.682,1.63
122486,50,5.20,11.928,2.35
122681,50,3.80,3.406,2.34
122786,50,6.30,8.507,4.22
122891,50,8.10,10.666,7.74
122996,50,7.80,7.285,7.20
123191,50,7.20,4.695,8.20
123296,50,6.40,1.616,6.49
123401,50,3.40,0.000,8.65
123566,50,1.40,0.000,8.24
123761,50,0.70,0.000,8.44
123866,50,-0.30,0.000,9.89
123971,50,-0.30,0.000,8.71
124166,50,-0.10,0.387,8.59
124271,50,-0.40,0.000,9.20
124466,50,-0.20,0.714,9.23
124571,50,-0.70,0.000,10.40
124676,50,-0.60,0.238,8.60
124871,50,-0.60,0.104,8.92
124976,50,-0.80,0.000,9.06
125171,50,-0.40,1.190,10.55
125276,50,-0.30,1.131,9.09
125381,50,-0.70,0.000,9.40
125576,50,-0.60,0.179,10.06
125681,50,-0.50,0.372,10.23
125786,50,-0.50,0.279,10.39
125981,50,-0.40,0.952,8.69
126086,50,-0.60,0.238,9.14
126191,50,-0.60,0.179,9.60
126296,50,-0.70,0.000,5.94
126476,50,-0.90,0.000,4.59
126581,50,-1.00,0.000,4.82
126701,50,-0.70,0.625,5.32
126806,50,-0.70,0.469,5.02
126986,50,-0.50,0.629,5.65
127091,50,-0.70,0.000,5.18
127196,50,-0.40,0.714,5.39
127391,50,-0.70,0.000,4.88
127496,50,-1.10,0.000,5.56
127601,50,-0.90,0.476,5.83
127706,50,-0.90,0.357,4.80
127811,50,-1.20,0.000,4.51
128006,50,-0.80,0.952,5.62
128111,50,-0.80,0.714,5.61
128216,50,-1.10,0.000,5.04
128321,50,-1.30,0.000,4.43
128426,50,-1.30,0.000,4.65
128621,50,-0.90,0.863,5.29
128726,50,-1.10,0.171,5.17
128831,50,-0.80,0.843,5.30
128936,50,-0.70,0.870,4.71
129131,50,-0.20,1.531,5.19
129236,50,-0.60,0.196,5.64
129401,50,-0.60,0.147,6.23
[PROFILE] Recording ended at 50% power (129471 ms)
[PROFILE] Next power level: 60%
[PROFILE] Recording started at 60% power (170472 ms)
170472,60,5.50,0.147,3.53
170921,60,5.50,0.111,3.90
171026,60,5.40,0.000,4.04
171221,60,5.00,0.000,1.40
171326,60,3.70,0.000,0.30
171431,60,2.60,0.000,0.75
171596,60,3.70,1.667,0.10
171731,60,1.50,0.000,0.02
171836,60,2.20,1.667,0.55
172001,60,2.09,1.083,0.58
172106,60,2.60,2.027,0.38
172301,60,2.00,0.000,0.32
172406,60,1.90,0.000,0.34
172511,60,0.70,0.000,0.29
172706,60,0.70,0.000,0.16
172811,60,0.20,0.000,0.63
173006,60,0.40,0.327,0.48
173111,60,0.90,1.436,1.15
173216,60,0.20,0.000,0.39
173411,60,0.70,1.190,0.51
