time_ms,power_pct,weight_g,flow_gps,pressure_bar
64696,50.0,0.00,0.000,4.15
64801,50.0,0.10,0.238,4.15
64906,50.0,0.10,0.179,4.12
65101,50.0,0.10,0.100,4.12
65206,50.0,0.10,0.075,4.09
65401,50.0,0.10,0.042,4.10
65506,50.0,0.10,0.032,4.09
65611,50.0,0.20,0.262,4.10
65806,50.0,0.10,0.000,4.08
65910,50.0,0.10,0.000,4.13
66031,50.0,0.10,0.000,4.18
66226,50.0,0.10,0.000,4.25
66330,50.0,0.10,0.000,4.25
66525,50.0,0.10,0.000,4.24
66630,50.0,0.10,0.000,4.27
66810,50.0,0.10,0.000,4.27
66916,50.0,0.10,0.000,4.28
67036,50.0,0.10,0.000,4.25
67215,50.0,0.10,0.000,4.27
67321,50.0,0.10,0.000,4.27
70420,52.5,0.30,0.016,5.07
70846,52.5,0.30,0.012,5.05
71041,52.5,0.30,0.007,0.67
71146,52.5,0.30,0.005,0.14
71250,52.5,0.30,0.004,0.47
71446,52.5,0.30,0.002,0.38
71565,52.5,0.30,0.002,0.51
71745,52.5,0.40,0.140,0.18
71851,52.5,0.30,0.000,0.27
71956,52.5,0.30,0.000,0.39
72151,52.5,0.30,0.000,0.64
72271,52.5,0.30,0.000,0.69
72465,52.5,0.40,0.481,0.35
72586,52.5,0.20,0.000,0.45
72750,52.5,0.20,0.000,0.66
72856,52.5,0.40,0.472,0.79
72991,52.5,0.20,0.000,1.56
73155,52.5,0.20,0.000,1.95
73261,52.5,0.20,0.000,2.18
73365,52.5,0.40,0.481,2.40
73470,52.5,0.20,0.000,3.28
73665,52.5,0.20,0.000,3.68
73771,52.5,0.10,0.000,3.80
73875,52.5,0.30,0.481,3.92
73980,52.5,0.20,0.122,4.03
74086,52.5,0.40,0.564,4.09
74281,52.5,0.30,0.236,4.43
74385,52.5,0.30,0.177,4.55
74491,52.5,0.20,0.000,4.63
74596,52.5,0.30,0.238,4.69
74791,52.5,0.30,0.134,4.74
74895,52.5,0.30,0.100,4.70
75000,52.5,0.30,0.075,4.84
75106,52.5,0.30,0.057,4.89
75316,52.5,0.30,0.042,4.95
75510,52.5,0.30,0.032,4.92
75675,52.5,0.30,0.024,5.02
75781,52.5,0.30,0.018,5.07
75976,52.5,0.30,0.010,5.07
76080,52.5,0.30,0.008,5.02
76186,52.5,0.30,0.006,4.98
76380,52.5,0.30,0.003,5.03
76485,52.5,0.30,0.002,5.04
76680,52.5,0.50,0.478,5.03
76786,52.5,0.50,0.358,5.01
76891,52.5,0.40,0.031,4.99
77086,52.5,0.40,0.000,4.99
77190,52.5,0.50,0.240,5.01
77385,52.5,0.50,0.135,4.98
77490,52.5,0.60,0.340,4.89
77596,52.5,0.60,0.255,4.96
77790,52.5,0.60,0.143,4.96
77911,52.5,0.60,0.107,4.97
78091,52.5,0.60,0.081,4.88
78195,52.5,0.60,0.060,4.81
78300,52.5,0.60,0.045,4.87
78405,52.5,0.60,0.034,4.88
78601,52.5,0.70,0.193,4.87
78721,52.5,0.80,0.353,4.82
78901,52.5,0.80,0.265,4.88
79021,52.5,0.80,0.199,4.87
79200,52.5,0.80,0.149,4.84
79306,52.5,0.80,0.112,4.85
79501,52.5,0.80,0.063,4.85
79651,52.5,0.80,0.047,4.86
79816,52.5,0.90,0.187,4.77
80011,52.5,0.90,0.105,4.71
80116,52.5,0.90,0.079,4.64
80220,52.5,0.90,0.059,4.82
80325,52.5,0.90,0.044,4.79
80431,52.5,1.00,0.269,4.77
80536,52.5,1.10,0.440,4.75
80641,52.5,1.00,0.092,4.74
80836,52.5,1.10,0.260,4.86
80941,52.5,1.10,0.195,4.82
81046,52.5,1.10,0.146,4.81
81150,52.5,1.10,0.110,4.77
81346,52.5,1.10,0.062,4.64
81451,52.5,1.10,0.046,4.80
81616,52.5,1.10,0.035,4.81
81751,52.5,1.20,0.211,4.71
81856,52.5,1.20,0.158,4.65
82021,52.5,1.20,0.119,4.64
82126,52.5,1.20,0.089,4.79
82321,52.5,1.20,0.050,4.77
85421,55.0,1.70,0.078,5.22
85861,55.0,1.70,0.058,5.23
86055,55.0,1.70,0.033,5.22
86160,55.0,1.70,0.025,0.99
86266,55.0,1.70,0.018,0.86
86386,55.0,1.70,0.014,1.24
86565,55.0,1.70,0.008,1.84
86671,55.0,1.70,0.006,2.29
86776,55.0,1.70,0.004,1.04
86986,55.0,1.70,0.002,1.78
87180,55.0,1.70,0.001,2.57
87391,55.0,1.70,0.001,0.84
87555,55.0,1.70,0.001,1.18
87691,55.0,1.70,0.000,1.58
87796,55.0,1.70,0.000,2.00
87961,55.0,1.70,0.000,1.95
88066,55.0,1.70,0.000,2.31
88171,55.0,1.70,0.000,2.55
88366,55.0,1.70,0.000,3.27
88471,55.0,1.70,0.000,3.57
88666,55.0,1.70,0.000,3.94
88771,55.0,1.70,0.000,4.09
88966,55.0,1.70,0.000,4.36
89071,55.0,1.70,0.000,4.50
89176,55.0,1.70,0.000,4.96
89371,55.0,1.70,0.000,4.92
89476,55.0,1.70,0.000,4.89
89671,55.0,1.70,0.000,4.84
89790,55.0,1.70,0.000,5.26
89970,55.0,1.70,0.000,5.05
90076,55.0,1.70,0.000,4.72
90181,55.0,1.70,0.000,4.73
90285,55.0,1.70,0.000,5.17
90391,55.0,1.70,0.000,5.07
90495,55.0,1.90,0.481,4.94
90691,55.0,1.90,0.270,4.78
90795,55.0,1.80,0.000,4.75
90901,55.0,1.90,0.236,5.14
91081,55.0,2.09,0.441,4.89
91186,55.0,2.00,0.116,4.88
91321,55.0,2.00,0.087,4.77
91486,55.0,2.00,0.065,4.67
91590,55.0,2.20,0.530,5.00
91696,55.0,2.20,0.397,4.81
91801,55.0,2.09,0.036,4.82
91995,55.0,2.09,0.020,4.65
92101,55.0,2.40,0.746,4.52
92206,55.0,2.30,0.322,4.69
92311,55.0,2.40,0.479,4.60
92506,55.0,2.30,0.061,4.49
92611,55.0,2.50,0.522,4.48
92716,55.0,2.50,0.392,4.52
92820,55.0,2.60,0.534,4.85
92923,55.0,2.50,0.158,4.64
93030,55.0,2.50,0.118,4.56
93223,55.0,2.70,0.483,4.52
93330,55.0,2.70,0.362,4.94
93451,55.0,2.70,0.272,4.79
93630,55.0,2.80,0.344,4.59
93736,55.0,2.70,0.022,4.71
93901,55.0,2.70,0.016,4.57
94005,55.0,2.70,0.012,4.79
94110,55.0,2.70,0.009,4.68
94306,55.0,2.70,0.005,4.34
94411,55.0,3.00,0.718,4.33
94605,55.0,3.10,0.612,4.49
94710,55.0,3.10,0.459,4.65
94816,55.0,3.10,0.344,4.75
95010,55.0,3.30,0.675,5.01
95116,55.0,3.20,0.270,4.99
95326,55.0,3.20,0.156,4.71
95521,55.0,3.50,0.772,4.93
95715,55.0,3.50,0.462,5.12
95821,55.0,3.30,0.000,4.67
96016,55.0,3.60,0.655,4.63
96120,55.0,3.60,0.491,4.67
96225,55.0,3.60,0.368,4.95
96330,55.0,3.70,0.514,5.11
96525,55.0,3.50,0.000,4.68
96631,55.0,3.80,0.708,4.79
96736,55.0,3.90,0.769,4.93
96840,55.0,3.50,0.000,5.07
97021,55.0,3.70,0.269,5.24
97126,55.0,3.90,0.678,4.64
97245,55.0,4.00,0.718,4.77
100422,57.5,4.60,0.586,5.83
100846,57.5,4.60,0.439,5.95
100950,57.5,4.60,0.330,5.93
101055,57.5,4.60,0.247,3.01
101175,57.5,4.60,0.185,0.67
101356,57.5,4.60,0.139,2.06
101460,57.5,4.60,0.104,2.16
101655,57.5,4.60,0.059,2.31
101761,57.5,4.60,0.044,2.01
101865,57.5,4.60,0.033,1.79
102060,57.5,4.60,0.019,3.69
102165,57.5,4.60,0.014,4.00
102361,57.5,4.60,0.008,4.49
102466,57.5,4.60,0.006,4.55
102585,57.5,4.60,0.004,2.65
102706,57.5,4.60,0.003,3.29
102870,57.5,4.60,0.002,3.88
103096,57.5,4.60,0.001,4.82
103306,57.5,4.60,0.001,4.85
103471,57.5,4.60,0.001,5.33
103575,57.5,4.60,0.000,5.68
103771,57.5,4.60,0.000,5.70
103875,57.5,4.60,0.000,5.04
103981,57.5,4.60,0.000,5.16
104190,57.5,4.60,0.000,5.41
104386,57.5,4.60,0.000,5.54
104505,57.5,4.60,0.000,5.42
104700,57.5,4.80,0.412,5.42
104806,57.5,4.80,0.309,5.67
105001,57.5,4.90,0.410,5.84
105105,57.5,5.00,0.548,5.80
105211,57.5,4.90,0.175,5.29
105316,57.5,5.00,0.369,5.52
105420,57.5,5.20,0.758,5.64
105616,57.5,5.30,0.662,5.86
105780,57.5,5.30,0.497,5.50
105886,57.5,5.50,0.650,5.19
106020,57.5,5.50,0.488,5.33
106125,57.5,5.50,0.366,5.40
106291,57.5,5.70,0.576,5.34
106395,57.5,5.70,0.432,5.22
106590,57.5,5.80,0.483,4.89
106696,57.5,5.90,0.598,5.48
106800,57.5,5.90,0.449,5.55
106996,57.5,6.10,0.724,5.41
107100,57.5,6.00,0.303,5.30
107296,57.5,6.20,0.642,5.59
107401,57.5,6.20,0.481,5.67
107595,57.5,6.30,0.511,5.40
107701,57.5,6.40,0.619,5.34
107806,57.5,6.40,0.464,5.26
108001,57.5,6.50,0.499,5.42
108105,57.5,6.60,0.615,5.42
108301,57.5,6.60,0.346,5.10
108406,57.5,6.80,0.736,4.98
108525,57.5,6.70,0.342,5.47
108720,57.5,6.90,0.673,5.48
108916,57.5,6.90,0.379,5.25
109021,57.5,7.00,0.522,5.15
109125,57.5,7.10,0.632,5.61
109231,57.5,7.10,0.474,5.68
109411,57.5,7.30,0.633,5.56
109516,57.5,7.30,0.475,5.41
109620,57.5,7.20,0.116,5.22
109815,57.5,7.50,0.718,5.41
109921,57.5,7.50,0.538,5.45
110025,57.5,7.50,0.404,5.27
110131,57.5,7.60,0.539,5.12
110325,57.5,7.60,0.303,4.74
110445,57.5,7.80,0.644,5.24
110641,57.5,7.80,0.362,5.25
110745,57.5,7.90,0.512,5.14
110850,57.5,8.00,0.622,5.01
111045,57.5,8.10,0.590,5.52
111151,57.5,8.20,0.679,5.61
111255,57.5,8.20,0.509,5.50
111450,57.5,8.30,0.527,5.23
111571,57.5,8.30,0.395,5.09
111721,57.5,8.60,0.546,5.49
111825,57.5,8.50,0.577,5.38
111961,57.5,8.60,0.617,5.24
112066,57.5,8.70,0.701,5.07
112231,57.5,8.70,0.526,4.82
112335,57.5,8.80,0.635,5.10
115423,60.0,9.39,0.524,6.64
115861,60.0,9.39,0.393,6.88
115965,60.0,9.39,0.295,6.94
116071,60.0,9.39,0.221,1.81
116266,60.0,9.39,0.124,0.00
116370,60.0,9.39,0.093,0.00
116475,60.0,9.39,0.070,0.00
116581,60.0,9.39,0.052,0.00
116775,60.0,9.39,0.029,0.00
116881,60.0,9.39,0.022,0.04
116986,60.0,9.39,0.017,1.51
117090,60.0,9.39,0.012,1.82
117196,60.0,9.39,0.009,2.29
117391,60.0,9.39,0.005,3.58
117495,60.0,9.39,0.004,4.15
117676,60.0,9.39,0.002,4.27
117900,60.0,9.39,0.001,4.65
118006,60.0,9.39,0.001,4.82
118171,60.0,9.39,0.001,5.18
118275,60.0,9.39,0.001,5.42
118380,60.0,9.39,0.000,5.37
118575,60.0,9.39,0.000,5.19
118681,60.0,9.39,0.000,5.67
118875,60.0,9.39,0.000,5.84
118980,60.0,9.60,0.500,5.64
119085,60.0,9.50,0.137,5.53
119281,60.0,9.80,0.757,5.40
119385,60.0,9.70,0.327,5.54
119581,60.0,9.89,0.605,5.71
119686,60.0,9.89,0.454,5.61
119790,60.0,10.00,0.605,5.39
120000,60.0,10.20,0.756,5.30
120180,60.0,10.30,0.781,5.47
120300,60.0,10.40,0.794,5.31
120405,60.0,10.40,0.596,5.11
120601,60.0,10.50,0.543,5.12
120706,60.0,10.70,0.884,5.37
120901,60.0,10.70,0.497,5.41
121005,60.0,10.90,0.854,5.31
121111,60.0,10.90,0.640,5.25
121216,60.0,10.90,0.480,5.59
121395,60.0,11.10,0.639,5.54
121516,60.0,11.10,0.480,5.49
121695,60.0,11.30,0.639,5.28
121815,60.0,11.40,0.688,5.16
121996,60.0,11.60,0.936,5.28
122101,60.0,11.60,0.702,5.33
122206,60.0,11.70,0.765,5.15
122311,60.0,11.80,0.812,5.07
122416,60.0,11.90,0.847,4.93
122520,60.0,12.00,0.876,5.07
122730,60.0,12.10,0.703,5.60
122925,60.0,12.20,0.633,5.12
123030,60.0,12.30,0.713,5.01
123135,60.0,12.40,0.773,5.18
123330,60.0,12.40,0.405,5.55
123435,60.0,12.70,1.018,5.38
123540,60.0,12.70,0.764,5.28
123645,60.0,12.70,0.573,5.20
123840,60.0,12.80,0.528,5.15
124066,60.0,12.90,0.503,4.89
124216,60.0,13.10,0.711,4.94
124351,60.0,13.20,0.718,4.90
124516,60.0,13.30,0.690,5.22
124621,60.0,13.40,0.756,5.39
