timestamp_ms,pump_power_pct,pressure_bar,pressure_bar_raw
33080,45,6.180,5.169
33130,45,6.367,6.510
33180,45,6.325,5.469
33230,45,6.233,4.953
33280,45,6.416,6.547
33330,45,6.270,4.526
33380,45,6.194,5.047
33430,45,6.452,6.838
33480,45,6.685,6.988
33530,45,6.559,4.991
33580,45,6.662,6.514
33630,45,6.711,6.378
33680,45,6.631,5.450
33730,45,6.525,5.122
33780,45,6.625,6.472
33830,45,6.464,4.592
33880,45,6.370,5.061
33930,45,6.545,6.650
33980,45,6.753,6.969
34030,45,6.616,4.948
34080,45,6.831,7.072
34130,45,7.002,7.091
34180,45,6.884,5.380
34230,45,6.797,5.548
34280,45,6.832,6.453
34330,45,6.667,4.766
34380,45,6.549,5.037
34430,45,6.591,6.238
34480,45,6.704,6.594
34530,45,6.568,4.901
34580,45,6.821,7.194
34630,45,6.971,6.988
34680,45,6.864,5.450
34730,45,6.710,4.897
34780,45,6.887,6.997
34830,45,6.711,4.714
34880,45,6.586,5.019
34930,45,6.614,6.210
34980,45,6.621,6.144
35030,45,6.490,4.878
35080,45,6.729,7.053
35130,45,6.830,6.678
35180,45,6.742,5.488
35230,45,6.604,4.925
35280,45,6.786,6.913
35330,45,6.607,4.583
35380,45,6.492,5.009
35430,45,6.669,6.782
35480,45,6.605,5.558
35530,45,6.475,4.869
35580,45,6.650,6.753
35630,45,6.682,6.289
35680,45,6.604,5.445
35730,45,6.475,4.869
35780,45,6.659,6.796
35830,45,6.485,4.498
35880,45,6.382,5.009
35930,45,6.627,6.969
35980,45,6.844,7.091
36030,45,6.700,4.972
36080,45,6.765,6.491
36130,45,6.795,6.397
36180,45,6.706,5.445
36230,45,6.588,5.084
36280,45,6.687,6.528
36330,45,6.516,4.555
36380,45,6.409,5.000
36430,45,6.607,6.791
36480,45,6.799,6.960
36530,45,6.656,4.939
36580,45,6.845,6.993
36630,45,7.008,7.072
36680,45,6.885,5.338
36730,45,6.732,4.925
36780,45,6.784,6.463
36830,45,6.617,4.695
36880,45,6.498,4.986
36930,45,6.579,6.355
36980,45,6.699,6.613
37030,45,6.562,4.897
